#Opcode number in hex - ascii representation of the opcode - relevance
#Order opcodes by value of hex number (0x10 < 0xFF < 0x7F00)
#Separate opcodes by a line feed only; no tabs, etc
#There must be one and only one space between each element (hex code, relevance, ascii)
#Other spaces are interpreted as being part of the ascii representation
#Remove leading 0's
#
E50D Ì 0
E50D &Igrave; 0
E50E Í 0
E50E &Iacute; 0
E50F Î 0
E50F &Icirc; 0
E510 Ï 0
E510 &Iuml; 0
E511 Ð 0
E511 &Eth; 0
E512 Ñ 0
E512 &Ntilde; 0
E513 Ò 0
E513 &Ograve; 0
E514 Ó 0
E514 &Oacute; 0
E515 Ô 0
E515 &Ocirc; 0
E516 Õ 0
E516 &Otilde; 0
E517 Ö 0
E517 &Ouml; 0
E518 Ø 0
E518 &Oslash; 0
E519 Ù 0
E519 &Ugrave; 0
E51A Ú 0
E51A &Uacute; 0
E51B Û 0
E51B &Ucirc; 0
E51C Ü 0
E51C &Uuml; 0
E51D Ý 0
E51D &Yacute; 0
E51E Þ 0
E51E &Thorn; 0
E520 Ÿ 0
E520 &Yuml; 0
E521 Ă 0
E521 &Abreve; 0
E522 Ą 0
E522 &Aogon; 0
E523 Ć 0
E523 &Cacute; 0
E524 Č 0
E524 &Ccaron; 0
E525 Œ 0
E525 &OElig; 0
E526 Ď 0
E526 &Dcaron; 0
E527 Ę 0
E527 &Eogon; 0
E528 Ě 0
E528 &Ecaron; 0
E529 Ł 0
E529 &Lstrok; 0
E52A Ń 0
E52A &Nacute; 0
E52B Ň 0
E52B &Ncaron; 0
E52C Ő 0
E52C &Odblac; 0
E52D Ř 0
E52D &Rcaron; 0
E52E Ś 0
E52E &Sacute; 0
E52F Š 0
E52F &Scaron; 0
E530 Ť 0
E530 &Tcaron; 0
E531 Ů 0
E531 &Uring; 0
E532 Ű 0
E532 &Udblac; 0
E533 Ź 0
E533 &Zacute; 0
E534 Ż 0
E534 &Zdot; 0
E535 Ž 0
E535 &Zcaron; 0
E540 &Alpha; 0
E541 &Beta; 0
E542 Γ 0
E542 &Gamma; 0
E543 Δ 0
E543 &Delta; 0
E544 &Epsilon; 0
E545 &Zeta; 0
E546 &Eta; 0
E547 Θ 0
E547 &Theta; 0
E548 &Iota; 0
E549 &Kappa; 0
E54A Λ 0
E54A &Lambda; 0
E54B &Mu; 0
E54C &Nu; 0
E54D Ξ 0
E54D &Xi; 0
E54E &Omicron; 0
E54F Π 0
E54F &Pi; 0
E550 &Rho; 0
E551 Σ 0
E551 &Sigma; 0
E553 &Tau; 0
E554 &Upsilon; 0
E555 Φ 0
E555 &Phi; 0
E556 &Chi; 0
E557 Ψ 0
E557 &Psi; 0
E558 Ω 0
E558 &Omega; 0
E560 &Acy; 0
E561 Б 0
E561 &Bcy; 0
E562 &Vcy; 0
E563 &Gcy; 0
E564 Д 0
E564 &Dcy; 0
E565 &IEcy; 0
E566 &IOcy; 0
E567 Ж 0
E567 &ZHcy; 0
E568 З 0
E568 &Zcy; 0
E569 И 0
E569 &Icy; 0
E56A Й 0
E56A &Jcy; 0
E56B &Kcy; 0
E56C Л 0
E56C &Lcy; 0
E56D &Mcy; 0
E56E &Ncy; 0
E56F &Ocy; 0
E570 П 0
E570 &Pcy; 0
E571 &Rcy; 0
E572 &Scy; 0
E573 &Tcy; 0
E574 У 0
E574 &Ucy; 0
E575 Ф 0
E575 &Fcy; 0
E576 &KHcy; 0
E577 Ц 0
E577 &TScy; 0
E578 Ч 0
E578 &CHcy; 0
E579 Ш 0
E579 &SHcy; 0
E57A Щ 0
E57A &SHCHcy; 0
E57B Ъ 0
E57B &HARDcy; 0
E57C Ы 0
E57C &Ycy; 0
E57D Ь 0
E57D &SOFTcy; 0
E57E Э 0
E57E &Ecy; 0
E580 Ю 0
E580 &YUcy; 0
E581 Я 0
E581 &YAcy; 0
E582 Є 0
E582 &Jukcy; 0
E590 ¡ 0
E590 &inverted_!; 0
E591 ¿ 0
E591 &inverted_?; 0
E592 € 0
E592 &euro; 0
E593 ₣ 0
E593 &franc; 0
E594 … 0
E594 &...; 0
E595 ‘ 0
E595 &left_'; 0
E596 &right_'; 0
E597 “ 0
E597 &left_"; 0
E598 ” 0
E598 &right_"; 0
E599 ¢ 0
E599 &cent; 0
E59A £ 0
E59A &pound; 0
E59B ¤ 0
E59B &headshot; 0
E59C ¥ 0
E59C &yen; 0
E59D § 0
E59D &sect; 0
E59E © 0
E59E &copyright; 0
E59F  0
E59F &underlined_a; 0
E5A0 ¬ 0
E5A0 &logical_not; 0
E5A1 ® 0
E5A1 &registered; 0
E5A2  0
E5A2 &underlined_o; 0
E5A3 « 0
E5A3 &<<; 0
E5A4 » 0
E5A4 &>>; 0
E5A5 ▫ 0
E5A5 &small_square; 0
E5A6 ⨯ 0
E5A6 &small_cross; 0
E5A7 · 0
E5A7 &middle_dot; 0
E5AB ⁉ 0
E5AB &!?; 0
